year,standard,area_per_ng,r2
2018,alpha_Pinene,88099,0.888
2018,Linalool,337592,0.988
2018,Methyl_salicylate,285941,0.972
2018,Caryophyllene,200444,0.997
2018,Indole,138903,0.971
2018,Farnesol,23362,0.036
2018,Hexenol,297190,0.998
2019,alpha_Pinene,43997,0.976
2019,Linalool,260563,0.934
2019,Methyl_salicylate,210423,0.973
2019,Caryophyllene,237272,0.981
2019,Indole,125163,0.99
2019,Farnesol,97272,0.53
2019,Hexenol,117398,0.998
2021,alpha_Pinene,49928,0.782
2021,Linalool,211105,0.644
2021,Caryophyllene,243783,0.708
2021,Farnesol,79825,0.703
2021,Indole,110213,0.905
2021,Hexenol,130775,0.677
2021,Methyl_salicylate,153261,0.828
